Agency,Subagency,B) Year Established,C1) Funding FY2008,C2) Funding FY2009,C3) Funding FY2010,D) Mission-specific or General STEM?,E) Agency or Mission-Related Workforce Needs?,F1) Primary Investment Objective,I1) STEM Learners Targeted? Specify.,I1) STEM Learners Targeted? Specify. 5,I1) STEM Learners Targeted? Specify. 6,J) Focus on Underrepresented Groups in STEM,K) Eligibility Restrictions,L) Minority Serving Institutions,M) Geographic Region,M) Geographic Region 1,N) STEM Discipline Focus 12,Q) Legislation Required to Shift Focus?,S) Investment Partnerships,U) Measured Outputs,V) Outcomes Measured,X) Evaluated Since 2005?,Growth,target
National Science Foundation,Office of International Science and Engineering (OISE),2004.0,1.75,1.52,1.74,General STEM,,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Pre-K-20 learners,,Graduate school (17-20) aged learners,No,Yes,No,National scope or not targeted to a geographic region,x,,Don't know,Required,,NONE,YES,-13.142857142899999,0
National Science Foundation,Directorate for Biological Sciences (BIO),2008.0,5.09,4.68,9.0,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,Undergraduate school (13-16) aged learners,,Yes,Yes,No,National scope or not targeted to a geographic region,x,,Don't know,No,Number of learners (any age) served,,YES,-8.05500982318,0
National Science Foundation,Directorate for Education and Human Resources (EHR),1993.0,51.46,51.85,64.51,General STEM,,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Pre-K-20 learners,Undergraduate school (13-16) aged learners,,No,Yes,No,National scope or not targeted to a geographic region,x,,Don't know,Encouraged,Number of learners (any age) served,,YES,0.757870190439,1
National Science Foundation,Directorate for Education and Human Resources (EHR),2010.0,37.28,40.86,41.6,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,Undergraduate school (13-16) aged learners,,No,No,No,National scope or not targeted to a geographic region,x,,Don't know,Encouraged,Number of learners (any age) served,,YES,9.603004291849999,1
National Science Foundation,Directorate for Education and Human Resources (EHR),2009.0,0.0,9.95,10.24,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,Undergraduate school (13-16) aged learners,,No,No,No,National scope or not targeted to a geographic region,x,Climate is very interdisciplinary and spans the natural and social sciences.,Don't know,Required,,NONE,YES,100.0,1
National Science Foundation,Directorate for Education and Human Resources (EHR),1983.0,5.57,5.15,5.18,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,Undergraduate school (13-16) aged learners,Graduate school (17-20) aged learners,Yes,Yes,No,National scope or not targeted to a geographic region,x,,Don't know,No,Number of learners (any age) served,NONE,YES,-7.540394973069999,0
National Science Foundation,Directorate for Education and Human Resources (EHR),2001.0,11.37,14.88,14.87,Agency Mission Workforce,Mission-related,STEM Careers,Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,Yes,,,,Cybersecurity and Information Assurance,Don't know,,Number of learners (any age) served,none,,30.8707124011,1
National Science Foundation,Directorate for Education and Human Resources (EHR),2002.0,47.87,85.99,57.93,General STEM,,Education Research and Development: Develop evidence-based STEM education models and practices,Pre-K-20 learners,Undergraduate school (13-16) aged learners,Graduate school (17-20) aged learners,No,No,No,National scope or not targeted to a geographic region,x,,Don't know,Required,Number of learners (any age) served,,YES,79.6323375809,1
National Science Foundation,Directorate for Education and Human Resources (EHR),1987.0,62.67,100.47,80.99,General STEM,,STEM Careers,Pre-K-20 learners,Undergraduate school (13-16) aged learners,,No,Yes,No,National scope or not targeted to a geographic region,x,,Don't know,Mixed,,,YES,60.3159406415,1
National Science Foundation,Directorate for Education and Human Resources (EHR),2002.0,55.05,115.0,54.93,General STEM,,"Pre and In Service Educator/Education Leader Performance: Train or retain STEM educators (K-12 pre-service or in-service, post-secondary, and informal) and education leaders to improve the content knowledge and pedagogical skills of STEM educators",Pre-K-20 learners,Undergraduate school (13-16) aged learners,Graduate school (17-20) aged learners,No,Yes,No,National scope or not targeted to a geographic region,x,,Don't know,Required,Number of learners (any age) served,,YES,108.900999092,1
National Science Foundation,Directorate for Education and Human Resources (EHR),2002.0,29.48,29.09,31.64,General STEM,,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Pre-K-20 learners,Undergraduate school (13-16) aged learners,,No,No,No,National scope or not targeted to a geographic region,x,,Don't know,Mixed,Number of learners (any age) served,,YES,-1.32293080054,0
National Science Foundation,Office of Polar Programs (OPP),2006.0,2.29,2.42,1.38,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,Undergraduate school (13-16) aged learners,Graduate school (17-20) aged learners,No,Yes,No,National scope or not targeted to a geographic region,x,,Don't know,Encouraged,Number of learners (any age) served,,YES,5.6768558952,1
National Science Foundation,Office of International Science and Engineering (OISE),2004.0,2.71,4.22,3.43,General STEM,,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Pre-K-20 learners,Undergraduate school (13-16) aged learners,Graduate school (17-20) aged learners,No,Yes,No,National scope or not targeted to a geographic region,x,,Don't know,No,,,YES,55.719557195600004,1
National Science Foundation,Directorate for Math and Physical Sciences (MPS),2003.0,19.46,26.95,15.07,General STEM,,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Pre-K-20 learners,Undergraduate school (13-16) aged learners,Graduate school (17-20) aged learners,No,Yes,No,National scope or not targeted to a geographic region,x,,Don't know,No,Number of learners (any age) served,NONE,YES,38.4892086331,1
National Science Foundation,Directorate for Math and Physical Sciences (MPS),2004.0,2.32,2.71,2.7,General STEM,,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Pre-K-20 learners,Undergraduate school (13-16) aged learners,,No,Yes,No,National scope or not targeted to a geographic region,x,,Don't know,No,Number of learners (any age) served,,NO,16.8103448276,1
National Science Foundation,Directorate for Education and Human Resources (EHR),2008.0,99.25,108.41,118.38,General STEM,,Education Research and Development: Develop evidence-based STEM education models and practices,Pre-K-20 learners,Undergraduate school (13-16) aged learners,,No,No,No,National scope or not targeted to a geographic region,x,,Don't know,No,,,YES,9.22921914358,1
National Science Foundation,Directorate for Education and Human Resources (EHR),2007.0,41.66,42.6,45.67,General STEM,,Education Research and Development: Develop evidence-based STEM education models and practices,Pre-K-20 learners,Undergraduate school (13-16) aged learners,Graduate school (17-20) aged learners,No,No,No,National scope or not targeted to a geographic region,x,,Don't know,No,,NONE,YES,2.2563610177599998,1
National Science Foundation,Directorate for Education and Human Resources (EHR),1983.0,64.45,65.72,65.85,General STEM,,Education Research and Development: Develop evidence-based STEM education models and practices,Pre-K-20 learners,,,No,No,No,National scope or not targeted to a geographic region,x,STEM content areas that are supported by NSF's research directorates.,Don't know,Encouraged,Number of learners (any age) served,,YES,1.97051978278,1
National Science Foundation,Directorate for Engineering (ENG),2003.0,1.08,2.0,1.83,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,Undergraduate school (13-16) aged learners,,No,No,No,National scope or not targeted to a geographic region,x,,Don't know,No,,NONE,NO,85.1851851852,1
National Science Foundation,Directorate for Engineering (ENG),2002.0,3.97,5.79,5.41,General STEM,,"Pre and In Service Educator/Education Leader Performance: Train or retain STEM educators (K-12 pre-service or in-service, post-secondary, and informal) and education leaders to improve the content knowledge and pedagogical skills of STEM educators",Pre-K-20 learners,,,No,Yes,No,National scope or not targeted to a geographic region,x,,Don't know,Encouraged,,NONE,YES,45.8438287154,1
National Science Foundation,Directorate for Engineering (ENG),,11.5,22.9,13.74,General STEM,,Education Research and Development: Develop evidence-based STEM education models and practices,,,,No,No,No,National scope or not targeted to a geographic region,x,,Don't know,Encouraged,,,YES,99.1304347826,1
National Science Foundation,Directorate for Education and Human Resources (EHR),1998.0,15.85,17.18,16.73,General STEM,,STEM Careers,Pre-K-20 learners,,Graduate school (17-20) aged learners,Yes,Yes,No,National scope or not targeted to a geographic region,x,,Don't know,Mixed,Number of learners (any age) served,,YES,8.39116719243,1
National Science Foundation,Directorate for Education and Human Resources (EHR),2001.0,12.8,13.39,13.35,General STEM,,"Institutional Capacity: Support advancement and development of STEM personnel, programs, and infrastructure in educational institutions such as universities, informal education institutions, state education agencies, and local education agencies",,,,Yes,No,Yes,National scope or not targeted to a geographic region,x,,Don't know,No,Number of learners (any age) served,,YES,4.609375,1
National Science Foundation,Directorate for Education and Human Resources (EHR),1998.0,29.74,31.13,32.06,General STEM,,"Institutional Capacity: Support advancement and development of STEM personnel, programs, and infrastructure in educational institutions such as universities, informal education institutions, state education agencies, and local education agencies",Pre-K-20 learners,Undergraduate school (13-16) aged learners,,Yes,Yes,Yes,National scope or not targeted to a geographic region,x,,Don't know,No,Number of learners (any age) served,NONE,YES,4.6738399462,1
National Science Foundation,Directorate for Education and Human Resources (EHR),1991.0,40.47,42.5,44.75,General STEM,,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Pre-K-20 learners,Undergraduate school (13-16) aged learners,Graduate school (17-20) aged learners,Yes,Yes,No,National scope or not targeted to a geographic region,x,,Don't know,Required,,,YES,5.01606127996,1
National Science Foundation,Directorate for Education and Human Resources (EHR),1994.0,5.93,6.88,6.92,General STEM,,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Pre-K-20 learners,Undergraduate school (13-16) aged learners,Graduate school (17-20) aged learners,Yes,No,No,National scope or not targeted to a geographic region,x,,Don't know,Encouraged,Number of learners (any age) served,,YES,16.0202360877,1
NASA,Science Mission Directorate (SMD),1997.0,1.5519999999999998,1.7,1.6480000000000001,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,,,Yes,No,No,National scope or not targeted to a geographic region,x,,Don't know,No,Number of learners (any age) served,NONE,YES,9.53608247423,1
NASA,Science Mission Directorate (SMD),2008.0,0.581,1.209,1.31,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",,,,Yes,No,No,National scope or not targeted to a geographic region,r,,No,No,Number of learners (any age) served,,YES,108.089500861,1
NASA,Science Mission Directorate (SMD),2002.0,0.1441,0.5388,0.3001,General STEM,,"Pre and In Service Educator/Education Leader Performance: Train or retain STEM educators (K-12 pre-service or in-service, post-secondary, and informal) and education leaders to improve the content knowledge and pedagogical skills of STEM educators",,,,No,No,No,National scope or not targeted to a geographic region,x,remote sensing; climate change,No,Mixed,Number of educators served,,YES,273.907009022,1
NASA,Education Office,2008.0,7.8,7.0,7.0,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,,,No,No,No,National scope or not targeted to a geographic region,x,"Microgravity, NASA missions, science, engineering, explorations, spinoffs, 
technologies or agency history.",Yes,Encouraged,Number of learners (any age) served,,YES,-10.2564102564,0
NASA,Education Office,2010.0,0.0,0.0,2.0,General STEM,,"Institutional Capacity: Support advancement and development of STEM personnel, programs, and infrastructure in educational institutions such as universities, informal education institutions, state education agencies, and local education agencies",Pre-K-20 learners,Undergraduate school (13-16) aged learners,Graduate school (17-20) aged learners,No,No,No,National scope or not targeted to a geographic region,x,"NASA-related STEM includes NASA History, Spinoffs, Innovations.",No,Encouraged,Number of learners (any age) served,,YES,0.0,1
NASA,ARMD,2007.0,1.8,1.8,1.8,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,Yes,,,,"NASA Aeronautics Research related fields, mainly Engineering and Math",No,,Number of learners (any age) served,,,0.0,1
NASA,ARMD,2007.0,1.1,1.1,1.1,Agency Mission Workforce,Mission-related,"Institutional Capacity: Support advancement and development of STEM personnel, programs, and infrastructure in educational institutions such as universities, informal education institutions, state education agencies, and local education agencies",Grades 6-20 aged learners,Undergraduate (13-16),,No,No,,,,NASA Aeronautics Research related fields mainly Aerospace Engineering,No,,,none,,0.0,1
NASA,Center GSFC,2008.0,11.6,13.0,3.7,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,,,Yes,Yes,No,National scope or not targeted to a geographic region,x,NASA related science/STEM,Yes,Encouraged,Number of learners (any age) served,NONE,NO,12.0689655172,1
NASA,Science Mission Directorate (SMD),1995.0,1.42,1.347,1.25,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,Undergraduate school (13-16) aged learners,,No,No,No,National scope or not targeted to a geographic region,x,,No,Encouraged,Number of learners (any age) served,,YES,-5.14084507042,0
NASA,Education Office,2006.0,2.0,1.9609999999999999,2.461,Agency Mission Workforce,Mission-related,"Institutional Capacity: Support advancement and development of STEM personnel, programs, and infrastructure in educational institutions such as universities, informal education institutions, state education agencies, and local education agencies",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),Yes,Yes,Yes,,,NASA-related STEM fields and Science Education,No,,Number of learners (any age) served,,,-1.95,0
NASA,Education Office,2001.0,2.5639999999999996,2.525,2.625,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,,Graduate (17-20),Yes,Yes,No,,,All NASA-related STEM disciplines and Science Education,No,,Number of learners (any age) served,,,-1.52106084243,0
NASA,Education Office,2001.0,3.995,3.48,2.974967,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),,No,Yes,,,,"All Engineering disciplines, physical sciences, Mathematics and Computer 
Science as they relate to aeronautics, space exploration, and scientific 
research activities conducted by NASA.",No,,Number of learners (any age) served,,,-12.8911138924,0
NASA,ESMD,2004.0,0.3,0.3,0.3,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,,,Yes,No,No,National scope or not targeted to a geographic region,x,"The focus of these materials is to introduce topics of space exploration and 
hands-on inquiry based activities to children ages 8 to 12 years old.",No,Encouraged,Number of learners (any age) served,,YES,0.0,1
NASA,Center JSC,2003.0,1.202517,3.1129599999999997,2.988115,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,,,No,Yes,No,National scope or not targeted to a geographic region,x,,No,Encouraged,Number of learners (any age) served,NONE,YES,158.870352768,1
NASA,Science Mission Directorate (SMD),1997.0,0.237,0.36200000000000004,0.595,General STEM,,"Pre and In Service Educator/Education Leader Performance: Train or retain STEM educators (K-12 pre-service or in-service, post-secondary, and informal) and education leaders to improve the content knowledge and pedagogical skills of STEM educators",Pre-K-20 learners,Undergraduate school (13-16) aged learners,,No,No,No,National scope or not targeted to a geographic region,x,,No,Mixed,Number of learners (any age) served,NONE,YES,52.742616033800005,1
NASA,Center GRC,1993.0,2.505,1.913,3.088,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,,,Yes,No,No,National scope or not targeted to a geographic region,x,,No,Encouraged,Number of educators served,,YES,-23.632734530900002,0
NASA,Science Mission Directorate (SMD),2009.0,0.0,0.9930399999999999,0.9957239999999999,General STEM,,"Institutional Capacity: Support advancement and development of STEM personnel, programs, and infrastructure in educational institutions such as universities, informal education institutions, state education agencies, and local education agencies",,,,No,No,No,National scope or not targeted to a geographic region,x,,No,Required,Number of educators served,,YES,100.0,1
NASA,Education Office,1989.0,39.711,38.298,44.501999999999995,General STEM,,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",,,,No,Yes,No,National scope or not targeted to a geographic region,x,,Yes,Encouraged,Number of educators served,,YES,-3.55820805318,0
NASA,ESMD,2007.0,0.287,0.365,0.41,Agency Mission Workforce,Mission-related,STEM Careers,Grades 6-20 aged learners,Undergraduate (13-16),,No,Yes,,,,Systems Engineering,No,,Number of learners (any age) served,none,,27.177700348400002,1
NASA,SMOD,1995.0,0.0,0.355,0.355,Agency Mission Workforce,Mission-related,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Grades 6-20 aged learners,Undergraduate (13-16),,No,Yes,,,,Engineering and science,No,,Number of learners (any age) served,none,,100.0,1
NASA,Center GRC,2010.0,0.0,0.0,10.0,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,,,Yes,Yes,No,National scope or not targeted to a geographic region,x,,Don't know,Encouraged,Number of learners (any age) served,,YES,0.0,1
NASA,Science Mission Directorate (SMD),,0.22899999999999998,0.575,0.495,General STEM,,"Pre and In Service Educator/Education Leader Performance: Train or retain STEM educators (K-12 pre-service or in-service, post-secondary, and informal) and education leaders to improve the content knowledge and pedagogical skills of STEM educators",Pre-K-20 learners,,,No,No,No,National scope or not targeted to a geographic region,x,,Don't know,Encouraged,Number of educators served,NONE,YES,151.09170305700002,1
NASA,ESMD,2006.0,1.358,1.547,1.032,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,No,,,,Engineering,No,,Number of learners (any age) served,,,13.9175257732,1
NASA,Science Mission Directorate (SMD),2009.0,0.0,0.4529,0.3,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,,,No,No,No,National scope or not targeted to a geographic region,x,,No,Encouraged,Number of educators served,NONE,YES,100.0,1
NASA,Education Office,2006.0,1.2819999999999998,0.84,0.706,General STEM,,Education Research and Development: Develop evidence-based STEM education models and practices,,,,No,No,No,National scope or not targeted to a geographic region,x,,No,Encouraged,Number of learners (any age) served,,YES,-34.4773790952,0
NASA,Center MSFC,2001.0,0.6,0.493,0.4,General STEM,,"Pre and In Service Educator/Education Leader Performance: Train or retain STEM educators (K-12 pre-service or in-service, post-secondary, and informal) and education leaders to improve the content knowledge and pedagogical skills of STEM educators",,,,No,No,No,National scope or not targeted to a geographic region,x,,No,No,Number of educators served,,YES,-17.8333333333,0
NASA,Center MSFC,2003.0,1.4,1.301524,1.0,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,Undergraduate school (13-16) aged learners,Graduate school (17-20) aged learners,No,No,No,National scope or not targeted to a geographic region,x,,No,No,,,YES,-7.034,0
NASA,ESMD,1998.0,0.72,0.74,0.75,General STEM,,STEM Careers,Pre-K-20 learners,Undergraduate school (13-16) aged learners,Graduate school (17-20) aged learners,No,No,No,National scope or not targeted to a geographic region,x,,Don't know,No,Number of learners (any age) served,,YES,2.77777777778,1
NASA,Science Mission Directorate (SMD),2002.0,0.299,0.26899999999999996,0.36200000000000004,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,,,No,No,No,National scope or not targeted to a geographic region,x,,No,Encouraged,,NONE,YES,-10.0334448161,0
NASA,Science Mission Directorate (SMD),2006.0,0.35,0.35,0.345,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,Undergraduate school (13-16) aged learners,,No,No,No,National scope or not targeted to a geographic region,x,,Don't know,No,,,NO,0.0,1
NASA,Science Mission Directorate (SMD),2000.0,0.42700000000000005,0.35600000000000004,0.303,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,,,No,No,No,National scope or not targeted to a geographic region,r,,No,Encouraged,Number of educators served,NONE,YES,-16.6276346604,0
NASA,Science Mission Directorate (SMD),2008.0,0.196,0.309,0.406,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,Undergraduate school (13-16) aged learners,,Yes,No,No,National scope or not targeted to a geographic region,x,,No,Encouraged,Number of learners (any age) served,NONE,YES,57.6530612245,1
NASA,Education Office,1992.0,13.93,14.571,14.062000000000001,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),Yes,Yes,Yes,,,"Engineering, Physical Sciences, Mathematics and Computer Science",No,,Number of learners (any age) served,,,4.6015793251999995,1
NASA,Science Mission Directorate (SMD),2009.0,0.0,0.3761,0.3715,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,,,No,No,No,National scope or not targeted to a geographic region,x,,No,No,Number of learners (any age) served,,YES,100.0,1
NASA,Science Mission Directorate (SMD),2009.0,0.0,0.8243889999999999,0.734045,General STEM,,"Institutional Capacity: Support advancement and development of STEM personnel, programs, and infrastructure in educational institutions such as universities, informal education institutions, state education agencies, and local education agencies",,,,No,No,No,,n,,No,Required,,,YES,100.0,1
NASA,Education Office,1980.0,5.2,4.3,4.4,Agency Mission Workforce,Mission-related,STEM Careers,Grades 6-20 aged learners,,Graduate (17-20),No,Yes,,,,"Aerospace, space science, technology",No,,,,,-17.3076923077,0
NASA,Center JSC,2010.0,0.0,0.0,0.3,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,,,No,Yes,No,National scope or not targeted to a geographic region,x,,No,Required,Number of learners (any age) served,,NO,0.0,1
NASA,Education Office,2010.0,0.0,0.0,0.9585020000000001,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,Yes,,,,"STEM careers including, but not limited to, NASA-focused",No,,Number of learners (any age) served,,,0.0,1
NASA,Education Office,1999.0,1.2,0.415,0.3,General STEM,,"Institutional Capacity: Support advancement and development of STEM personnel, programs, and infrastructure in educational institutions such as universities, informal education institutions, state education agencies, and local education agencies",,,,Yes,Yes,Yes,National scope or not targeted to a geographic region,x,,No,No,,,YES,-65.4166666667,0
NASA,Education Office,2008.0,5.8,7.8,6.5,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,Undergraduate school (13-16) aged learners,Graduate school (17-20) aged learners,No,No,No,,n,"NASA History, Innovations, Spinoffs,",Yes,Mixed,Number of learners (any age) served,,YES,34.482758620700004,1
NASA,Education Office,1961.0,4.9,5.5,2.5,General STEM,,"Pre and In Service Educator/Education Leader Performance: Train or retain STEM educators (K-12 pre-service or in-service, post-secondary, and informal) and education leaders to improve the content knowledge and pedagogical skills of STEM educators",Pre-K-20 learners,Undergraduate school (13-16) aged learners,,Yes,No,No,National scope or not targeted to a geographic region,x,,No,Encouraged,Number of learners (any age) served,,YES,12.244897959200001,1
